plate_number,fir_case_number,crime_type,alert_active,alert_priority
KA-55-M-2162,KAR/VIJ/2024/0001,vehicle_theft,True,high
KA-05-KB-8681,KAR/BEN/2024/0002,vehicle_theft,True,high
KA-48-A-7232,KAR/BEN/2024/0004,vehicle_theft,True,high
KA-39-P-5747,KAR/BID/2024/0006,chain_snatching,True,high
KA-35-KA-7613,KAR/MAN/2024/0009,vehicle_theft,True,high
KA-35-N-1997,KAR/CHI/2024/0011,robbery,True,high
KA-43-P-9065,KAR/BEN/2024/0013,vehicle_theft,True,high
KA-06-A-9906,KAR/SHI/2024/0014,vehicle_theft,True,high
KA-39-A-9489,KAR/BEN/2024/0019,vehicle_theft,True,high
KA-48-B-6084,KAR/BEN/2024/0025,vehicle_theft,True,high
KA-47-KB-5726,KAR/HUB/2024/0028,vehicle_theft,True,high
KA-08-A-5614,KAR/BEN/2024/0031,robbery,True,high
KA-13-A-6566,KAR/BEN/2024/0033,vehicle_theft,True,high
KA-47-N-1518,KAR/BEN/2024/0034,chain_snatching,True,high
KA-01-N-7476,KAR/BID/2024/0035,vehicle_theft,True,high
KA-25-P-8197,KAR/BAL/2024/0036,chain_snatching,True,high
KA-02-A-5654,KAR/MAN/2024/0039,chain_snatching,True,high
KA-11-M-5677,KAR/BAL/2024/0040,vehicle_theft,True,high
KA-31-KB-6679,KAR/HUB/2024/0044,vehicle_theft,False,high
KA-01-B-3650,KAR/BEN/2024/0046,chain_snatching,False,high
KA-45-M-2372,KAR/TUM/2024/0047,vehicle_theft,True,high
KA-27-M-1767,KAR/BEL/2024/0048,vehicle_theft,True,high
KA-17-B-7284,KAR/BAL/2024/0055,vehicle_theft,False,high
KA-43-A-5020,KAR/HAS/2024/0056,vehicle_theft,False,high
KA-20-N-2214,KAR/BEN/2024/0060,vehicle_theft,True,high
KA-31-KA-1156,KAR/BEN/2024/0061,vehicle_theft,True,high
KA-48-M-2288,KAR/MYS/2024/0064,robbery,False,high
KA-38-N-2238,KAR/BEN/2024/0069,robbery,True,high
KA-13-M-6031,KAR/BEN/2024/0072,chain_snatching,True,high
KA-36-KB-1862,KAR/BEN/2024/0075,vehicle_theft,True,high
KA-03-KA-9625,KAR/KOL/2024/0082,vehicle_theft,True,medium
KA-12-A-9803,KAR/BEN/2024/0083,vehicle_theft,True,medium
KA-34-B-2609,KAR/BEN/2024/0085,vehicle_theft,False,medium
KA-42-N-8360,KAR/BEN/2024/0088,vehicle_theft,True,medium
KA-18-N-6062,KAR/SHI/2024/0090,chain_snatching,True,medium
KA-31-P-7900,KAR/TUM/2024/0091,chain_snatching,True,medium
KA-47-KA-8344,KAR/BEN/2024/0093,vehicle_theft,True,medium
KA-18-P-5554,KAR/BEL/2024/0096,robbery,False,medium
KA-41-M-1014,KAR/BEN/2024/0099,chain_snatching,True,medium
KA-23-M-2731,KAR/BEN/2024/0100,chain_snatching,True,medium
KA-35-KB-4846,KAR/MAN/2024/0103,robbery,True,medium
KA-28-B-8752,KAR/SHI/2024/0105,vehicle_theft,True,medium
KA-17-KA-6528,KAR/VIJ/2024/0106,robbery,True,medium
KA-42-P-3541,KAR/BEN/2024/0115,chain_snatching,False,medium
KA-27-M-6379,KAR/MAN/2024/0116,chain_snatching,True,medium
KA-49-N-3520,KAR/SHI/2024/0117,vehicle_theft,True,medium
KA-44-KB-8579,KAR/MAN/2024/0121,vehicle_theft,True,medium
KA-42-P-2709,KAR/BEN/2024/0124,vehicle_theft,True,medium
KA-20-M-4868,KAR/BEN/2024/0125,vehicle_theft,True,medium
KA-25-A-7342,KAR/HAS/2024/0129,chain_snatching,True,medium
KA-35-KA-7102,KAR/BEN/2024/0130,chain_snatching,True,medium
KA-27-N-9189,KAR/BEN/2024/0133,vehicle_theft,True,medium
KA-33-M-8866,KAR/KAL/2024/0139,vehicle_theft,True,medium
KA-44-N-8254,KAR/BEL/2024/0142,robbery,True,medium
KA-08-P-8138,KAR/MAN/2024/0146,robbery,True,medium
KA-46-N-3843,KAR/BEN/2024/0148,vehicle_theft,True,medium
KA-03-A-5964,KAR/BEN/2024/0152,vehicle_theft,True,medium
KA-21-N-6670,KAR/BEN/2024/0153,chain_snatching,True,medium
KA-34-N-2335,KAR/KOL/2024/0154,vehicle_theft,True,medium
KA-42-KB-6066,KAR/BEN/2024/0158,vehicle_theft,True,medium
KA-12-N-7601,KAR/KOP/2024/0159,chain_snatching,True,medium
KA-47-M-6900,KAR/KOP/2024/0160,vehicle_theft,False,medium
KA-11-N-7950,KAR/BEN/2024/0163,vehicle_theft,False,medium
KA-20-N-3274,KAR/BEN/2024/0164,vehicle_theft,True,medium
KA-08-B-9462,KAR/SHI/2024/0166,vehicle_theft,False,medium
KA-48-KB-7582,KAR/UDU/2024/0168,robbery,True,medium
KA-40-B-5797,KAR/KOP/2024/0169,chain_snatching,True,medium
KA-32-M-7258,KAR/KOL/2024/0171,chain_snatching,True,medium
KA-35-N-2625,KAR/BEN/2024/0182,chain_snatching,True,medium
KA-44-KB-7207,KAR/SHI/2024/0186,robbery,True,medium
KA-22-A-4311,KAR/BEN/2024/0188,vehicle_theft,False,medium
KA-33-P-9513,KAR/BEN/2024/0190,vehicle_theft,True,medium
KA-09-P-7383,KAR/BEN/2024/0191,chain_snatching,True,medium
KA-23-P-1886,KAR/BEN/2024/0193,vehicle_theft,False,medium
KA-23-N-2292,KAR/HUB/2024/0196,vehicle_theft,True,medium
KA-28-KA-6451,KAR/BEN/2024/0197,chain_snatching,True,medium
KA-36-KB-7935,KAR/BEN/2024/0200,chain_snatching,True,medium
KA-40-P-9108,KAR/SHI/2024/0201,chain_snatching,False,medium
KA-33-N-9493,KAR/BEN/2024/0202,robbery,True,medium
KA-38-KB-7399,KAR/BEL/2024/0203,vehicle_theft,True,medium
KA-42-M-5262,KAR/KAL/2024/0207,vehicle_theft,False,medium
KA-23-N-7714,KAR/BEL/2024/0210,vehicle_theft,False,medium
KA-06-B-4484,KAR/SHI/2024/0211,chain_snatching,True,medium
KA-30-N-3223,KAR/BEN/2024/0212,vehicle_theft,True,medium
KA-21-KA-6084,KAR/MAN/2024/0213,robbery,True,medium
KA-20-A-7227,KAR/KAL/2024/0217,vehicle_theft,True,medium
KA-15-KA-9656,KAR/MYS/2024/0218,robbery,True,medium
KA-38-KB-1354,KAR/BID/2024/0221,vehicle_theft,True,medium
KA-24-M-1057,KAR/DAV/2024/0224,chain_snatching,False,medium
KA-31-N-4116,KAR/KOP/2024/0225,chain_snatching,True,medium
KA-32-P-7668,KAR/MAN/2024/0229,vehicle_theft,True,medium
KA-35-M-2654,KAR/KOL/2024/0230,robbery,False,medium
KA-12-A-5677,KAR/BEN/2024/0234,robbery,False,medium
KA-15-P-4604,KAR/BEN/2024/0237,chain_snatching,True,medium
KA-03-KB-4052,KAR/KOL/2024/0241,vehicle_theft,False,medium
KA-12-B-6217,KAR/BEN/2024/0246,robbery,True,medium
KA-43-B-6066,KAR/MAN/2024/0247,vehicle_theft,True,medium
KA-16-M-1730,KAR/BEN/2024/0252,vehicle_theft,False,medium
KA-18-B-1836,KAR/BEN/2024/0253,vehicle_theft,True,medium
KA-04-M-1158,KAR/VIJ/2024/0255,chain_snatching,True,medium
KA-17-KA-1081,KAR/BEN/2024/0257,vehicle_theft,True,medium
KA-25-B-3622,KAR/BEN/2024/0258,robbery,True,medium
KA-09-KB-7902,KAR/KAL/2024/0259,vehicle_theft,False,medium
KA-41-KA-9573,KAR/BEN/2024/0260,robbery,True,medium
KA-16-KA-8033,KAR/KOL/2024/0261,vehicle_theft,True,medium
KA-20-B-2767,KAR/BEN/2024/0262,chain_snatching,True,medium
KA-18-M-3357,KAR/RAI/2024/0264,vehicle_theft,False,medium
KA-43-P-2243,KAR/BEN/2024/0267,vehicle_theft,True,medium
KA-20-KB-8079,KAR/VIJ/2024/0275,vehicle_theft,True,medium
KA-25-N-7487,KAR/BEN/2024/0277,chain_snatching,True,medium
KA-36-KB-2411,KAR/BEN/2024/0281,vehicle_theft,True,medium
KA-18-M-8572,KAR/BEN/2024/0287,vehicle_theft,False,medium
KA-07-B-1251,KAR/BEN/2024/0288,vehicle_theft,False,medium
KA-02-B-4325,KAR/BID/2024/0289,chain_snatching,True,medium
KA-16-N-5149,KAR/KAL/2024/0292,chain_snatching,True,medium
KA-45-M-6364,KAR/BEN/2024/0294,chain_snatching,True,medium
KA-01-KB-8385,KAR/DAV/2024/0296,chain_snatching,True,medium
KA-39-A-6003,KAR/BEN/2024/0298,robbery,True,medium
KA-52-A-9837,KAR/TUM/2024/0300,vehicle_theft,True,medium
KA-52-KA-6202,KAR/CHI/2024/0302,vehicle_theft,True,medium
KA-52-N-2681,KAR/BEN/2024/0304,vehicle_theft,True,medium
KA-47-N-3384,KAR/BEN/2024/0307,vehicle_theft,True,medium
KA-21-KA-7644,KAR/DAV/2024/0309,vehicle_theft,False,medium
KA-33-B-5943,KAR/DAV/2024/0312,vehicle_theft,True,medium
KA-10-A-2073,KAR/BEN/2024/0313,robbery,False,medium
KA-52-B-1061,KAR/MAN/2024/0314,chain_snatching,True,medium
KA-39-A-9405,KAR/KAL/2024/0316,chain_snatching,True,medium
KA-43-N-5286,KAR/BEN/2024/0320,robbery,True,medium
KA-46-B-5035,KAR/VIJ/2024/0323,robbery,False,medium
KA-19-P-5595,KAR/BEN/2024/0331,chain_snatching,True,medium
KA-23-N-8266,KAR/KOP/2024/0332,vehicle_theft,True,medium
KA-18-B-9336,KAR/KAL/2024/0333,vehicle_theft,False,medium
KA-39-A-1029,KAR/KOP/2024/0334,robbery,True,medium
KA-16-N-8098,KAR/CHI/2024/0335,vehicle_theft,False,medium
KA-04-A-3846,KAR/DAV/2024/0339,chain_snatching,True,medium
KA-07-M-6146,KAR/BEN/2024/0343,vehicle_theft,False,medium
KA-09-P-8638,KAR/BEN/2024/0345,vehicle_theft,True,medium
KA-35-P-2739,KAR/BEN/2024/0349,vehicle_theft,True,medium
KA-53-N-7535,KAR/KAL/2024/0353,chain_snatching,True,medium
KA-24-B-6040,KAR/BAL/2024/0354,chain_snatching,True,medium
KA-39-A-5170,KAR/BEL/2024/0357,vehicle_theft,True,medium
KA-49-M-1830,KAR/HUB/2024/0361,chain_snatching,False,medium
KA-34-N-1775,KAR/KAL/2024/0363,chain_snatching,True,medium
KA-18-M-4750,KAR/KOP/2024/0364,chain_snatching,True,medium
KA-21-KA-9175,KAR/MYS/2024/0365,robbery,True,medium
KA-16-KB-9099,KAR/UDU/2024/0370,chain_snatching,True,medium
KA-27-N-6177,KAR/HAS/2024/0372,chain_snatching,True,medium
KA-44-N-7994,KAR/MAN/2024/0376,vehicle_theft,True,medium
KA-36-B-3769,KAR/HAS/2024/0378,vehicle_theft,True,medium
KA-26-P-9317,KAR/BEN/2024/0380,vehicle_theft,True,medium
KA-31-M-1058,KAR/MYS/2024/0383,robbery,True,medium
KA-32-P-9986,KAR/MYS/2024/0387,chain_snatching,True,medium
KA-34-KA-4188,KAR/BEN/2024/0388,chain_snatching,True,medium
KA-52-KA-9625,KAR/BEN/2024/0390,vehicle_theft,True,medium
KA-13-P-4470,KAR/HAS/2024/0391,vehicle_theft,True,medium
KA-25-B-1211,KAR/CHI/2024/0394,robbery,False,medium
KA-32-N-7356,KAR/HUB/2024/0395,vehicle_theft,True,medium
KA-31-A-6547,KAR/BEN/2024/0397,robbery,False,medium
KA-26-N-2828,KAR/TUM/2024/0400,chain_snatching,True,medium
KA-54-KB-8244,KAR/BEN/2024/0401,chain_snatching,True,medium
KA-50-KB-4186,KAR/MAN/2024/0402,chain_snatching,False,medium
KA-53-M-5412,KAR/BEN/2024/0410,robbery,True,medium
KA-43-KB-1031,KAR/BEL/2024/0413,vehicle_theft,True,medium
KA-10-P-5946,KAR/BEN/2024/0418,chain_snatching,True,medium
KA-03-N-5622,KAR/UDU/2024/0423,vehicle_theft,False,medium
KA-21-B-1857,KAR/HUB/2024/0425,robbery,True,medium
KA-51-KB-1302,KAR/BEN/2024/0426,robbery,True,medium
KA-02-A-3593,KAR/BEN/2024/0428,vehicle_theft,True,medium
KA-08-B-3902,KAR/BEL/2024/0429,robbery,False,medium
KA-54-N-2482,KAR/MYS/2024/0430,vehicle_theft,True,medium
KA-15-M-4190,KAR/KOL/2024/0432,robbery,True,medium
KA-25-N-7231,KAR/TUM/2024/0435,vehicle_theft,True,medium
KA-46-M-1030,KAR/BEN/2024/0438,robbery,True,medium
KA-02-A-4680,KAR/BEN/2024/0440,vehicle_theft,True,medium
KA-47-A-3886,KAR/RAI/2024/0442,vehicle_theft,True,medium
KA-39-A-4209,KAR/VIJ/2024/0443,chain_snatching,True,medium
KA-31-KA-5209,KAR/BEN/2024/0444,vehicle_theft,True,medium
KA-14-A-2649,KAR/MYS/2024/0449,vehicle_theft,True,medium
KA-14-KB-7061,KAR/VIJ/2024/0452,vehicle_theft,False,medium
KA-26-M-8116,KAR/VIJ/2024/0455,vehicle_theft,True,medium
KA-22-M-7839,KAR/BEN/2024/0456,chain_snatching,False,medium
KA-01-KA-5875,KAR/MYS/2024/0457,vehicle_theft,True,medium
KA-21-B-5914,KAR/BEN/2024/0458,vehicle_theft,True,medium
KA-35-KA-1666,KAR/BEN/2024/0460,vehicle_theft,False,medium
KA-55-B-2265,KAR/DAV/2024/0461,vehicle_theft,True,medium
KA-48-KB-3277,KAR/HAS/2024/0466,vehicle_theft,True,medium
KA-44-B-2832,KAR/KOP/2024/0470,chain_snatching,True,medium
KA-20-KB-3989,KAR/KOL/2024/0473,chain_snatching,True,medium
KA-44-P-2557,KAR/BEN/2024/0476,vehicle_theft,True,medium
KA-50-A-9528,KAR/MAN/2024/0477,chain_snatching,False,medium
KA-14-P-2239,KAR/BEN/2024/0479,chain_snatching,True,medium
KA-51-A-5738,KAR/RAI/2024/0485,vehicle_theft,True,medium
KA-06-P-1760,KAR/BEN/2024/0491,chain_snatching,True,medium
KA-37-KA-3196,KAR/BEN/2024/0493,robbery,False,medium
KA-53-A-7866,KAR/MAN/2024/0498,robbery,True,medium
KA-13-A-8015,KAR/TUM/2024/0499,vehicle_theft,True,medium
KA-43-N-8098,KAR/MYS/2024/0501,robbery,True,medium
KA-25-N-6906,KAR/DAV/2024/0507,robbery,True,medium
KA-44-P-9420,KAR/RAI/2024/0509,robbery,False,medium
KA-40-P-3455,KAR/BEN/2024/0511,chain_snatching,False,medium
KA-37-A-2991,KAR/KOL/2024/0514,chain_snatching,True,medium
KA-44-KA-4421,KAR/DAV/2024/0515,vehicle_theft,False,medium
KA-28-KB-1917,KAR/KOL/2024/0516,robbery,True,medium
KA-50-KB-5185,KAR/KAL/2024/0517,vehicle_theft,True,medium
KA-32-P-8028,KAR/BEN/2024/0520,vehicle_theft,True,medium
KA-45-KA-3334,KAR/BEN/2024/0525,robbery,True,medium
KA-12-A-3514,KAR/MYS/2024/0527,chain_snatching,True,medium
KA-33-P-4760,KAR/BEN/2024/0528,chain_snatching,True,medium
KA-45-N-3720,KAR/BAL/2024/0529,vehicle_theft,True,medium
KA-16-P-8367,KAR/BAL/2024/0530,vehicle_theft,False,medium
KA-55-N-3998,KAR/TUM/2024/0532,vehicle_theft,False,medium
KA-31-P-6142,KAR/HUB/2024/0533,robbery,True,medium
KA-20-N-8057,KAR/BID/2024/0534,chain_snatching,True,medium
KA-40-KA-1729,KAR/KOP/2024/0535,chain_snatching,True,medium
KA-14-KA-7225,KAR/KAL/2024/0537,robbery,True,medium
KA-44-P-6814,KAR/BEN/2024/0538,vehicle_theft,True,medium
KA-35-KA-2954,KAR/BEN/2024/0540,vehicle_theft,False,medium
KA-10-A-5363,KAR/CHI/2024/0541,vehicle_theft,True,medium
KA-01-N-1390,KAR/HUB/2024/0543,vehicle_theft,False,medium
KA-45-KA-9057,KAR/BEN/2024/0545,vehicle_theft,False,medium
KA-26-KA-7687,KAR/MAN/2024/0546,vehicle_theft,True,medium
KA-43-KA-6202,KAR/SHI/2024/0548,robbery,True,medium
